ssn,first_name,last_name,salary,bonus
955360239,Kenyon,Woffinden,105564,17253
580565071,Collete,Ledes,72562,29414
811419428,Maximilianus,Threadgill,68296,5505
826019661,Jedidiah,Goulbourn,74837,29507
643787433,Emmery,Bleakman,148642,28905
925064165,Derward,Matfield,114655,13701
860632203,Loreen,Brimham,54953,29833
785899341,Marjy,Duchateau,64006,27431
828154296,Kevin,Rain,148715,13228
952474969,Maisie,Lavielle,46363,13450
817368167,Sibley,Epelett,119084,20184
765098711,Jeromy,Cornbill,56389,12935
626007638,Emylee,Skillicorn,50658,11360
793560717,Alissa,Bain,96295,26780
933568514,Joey,Tite,71758,15030
787951674,Kingston,Gooms,129088,11747
897233091,Bernete,Kings,89130,22941
793930908,Aleksandr,Tunney,143734,9028
534942128,Emmery,Timmins,123868,19301
610831035,Lorelei,Durnill,104025,20417
890261930,Prudi,Dumphries,55079,24167
567628883,Rosina,Tomasoni,42124,26234
904793507,Jackquelin,Wright,63919,6221
773006953,Carter,McMurrugh,120727,25260
673262385,Geno,Osbaldstone,53905,5255
917151252,Bamby,Heady,91972,11488
603010061,Livvie,Barrington,43989,16381
536930527,Grange,Mulvany,53984,11274
576093821,Fairleigh,Beckinsall,68258,27923
561958797,Adolf,Eccersley,80965,8241
979724208,Jacques,Greensted,57348,21446
727022383,Earvin,Blois,118322,9540
634372854,Gannie,Pizer,133366,20663
783505631,Lyndsie,Millen,90878,16280
917838276,Amata,Batteson,50415,19239
540888510,Dianemarie,Springett,136195,21433
663950034,Eben,Salter,116033,11296
965981796,Timothea,Meatyard,135974,20428
569417845,Derrik,Rowney,81872,26684
890337276,Karylin,Bolstridge,127227,13375
973530194,Lindsay,Quimby,52372,26766
969111117,Silas,Petrello,78677,11457
617912967,Goldi,Fideler,123446,13904
901429873,Kathrine,Tilston,131465,8235
788261685,Jaclyn,Ginie,122160,26403
806401067,Gerda,Gland,141802,25459
698082673,Wayland,Crowcombe,53106,26542
605396511,Gray,Grimbleby,44129,7751
832470953,Babb,Hurles,125356,17320
530129549,Cash,Lavin,123985,28085
662137179,Thorndike,Rossander,72980,22223
777144714,Marillin,Rudgley,118416,6431
781027602,Regan,Goadbie,57374,23668
721209526,Jacques,Beebee,128048,29689
646734307,Austine,Beange,69037,8479
899479260,Peggi,Sissel,123247,29243
589904095,Violante,Birt,41315,12169
644080355,Vivia,Ginity,65200,29343
848273264,Myron,Pratley,47015,17536
999193622,Dreddy,Oene,74308,23491
979560579,Hamil,Ruston,57097,15428
927402177,Robyn,Wakerley,54625,21329
525152208,Bette-ann,Snoddy,61992,10072
919725862,Curry,Pacey,122414,16005
691325519,Camile,Bergstram,85142,21466
622080344,Charil,Reinmar,82449,9628
685539475,Hermia,Wardingly,40520,22920
607561693,Rowan,De Mitri,115741,8792
783559636,Eduino,Ellerker,49357,17834
757228533,Lurette,Braganca,84018,8946
991403874,Guinevere,Willishire,126996,17655
923554686,Diannne,Ballinghall,139775,27250
923696236,Myriam,Lamplugh,116349,8680
988110055,Etheline,Trittam,127105,25449
966231365,Mark,Brazil,83083,26408
582251282,Marysa,Carlos,43022,9514
868515345,Rosabella,Donald,77393,18647
626667007,Justinian,Darrington,145989,7221
993764609,Loreen,Towsey,98531,9796
987725906,Rozella,Jellybrand,106191,14470
561052573,Easter,Onion,134517,27579
963977420,Kylen,Fidell,123859,29182
962744825,Carver,Vincent,144576,19843
760054881,Milicent,Critten,132493,13530
636385539,Laurena,Scini,141275,14477
718168132,Candy,Almey,85472,16732
953917298,Hynda,Raper,118666,16914
997306044,Daisie,Stebbin,91024,11132
685002197,Fernando,Fronks,88062,19859
660352473,Rora,Joska,49573,25886
586195120,Barth,Olekhov,123447,16469
647704846,Zorina,Lindegard,126833,17169
958613241,Hunter,Biagi,84233,16852
883921021,Florry,Undrill,83235,25287
972594704,Tori,Glinde,107259,7809
797971202,Fredrick,Rhys,142209,15445
663430345,Richy,Locks,66214,7443
814500830,Sammy,Janicijevic,107393,19022
826383972,Ruperto,Kaaskooper,68603,20401
540616580,Orlan,Silverton,139370,21383
993668938,Leigh,Oxtarby,128301,6064
717852958,Karisa,Atmore,104094,19878
519540436,Amandie,Sidary,117370,15751
593946903,Shaina,Roseaman,106659,26509
701349235,Tabbie,Scobie,79309,17065
744214516,Ber,Spybey,87279,22901
566009292,Torre,Hunnisett,131714,11168
737878948,Sherwynd,Emmines,146937,14834
904874085,Cara,Shafe,113345,20037
585747920,Stepha,Fehners,78715,15754
793058692,Dillon,Puffett,57945,15630
723905291,Hiram,Barnet,147916,21639
939216836,Drona,Fasey,97876,26030
991171137,Twyla,Kasper,147124,17983
821881525,Templeton,Hubery,91912,14805
826875338,Luciana,Fulton,53860,28305
572403253,Evin,Hamlington,67169,26204
862018650,Skipper,Lichtfoth,120152,29507
782063338,Titus,Sands,45185,5980
732782046,Arabela,Joynes,124832,23366
565577921,Vanda,Hall-Gough,68185,18719
646559740,Laurena,Caldecot,88471,24294
859589320,Alix,Jendrich,108379,12139
991641241,Burty,Donavan,47641,25908
874776679,Alidia,Coggings,98751,15645
930321418,Luce,Skeemer,124293,16670
746098178,Raddy,Elvy,117582,12191
606981567,Bryna,Mussen,54189,6910
848449644,Wanda,Shipway,35762,22787
560670524,Athene,Digby,132498,24394
812927407,Alon,Tourne,82637,22051
984815768,Ruby,Iacivelli,90298,14672
926511006,Susanne,Keeling,88172,22413
